ParametersID,ParameterName,ParameterNumberValue,ParameterUnit,ParameterNonNumberValue,assay_AssayID,assay_publication_DOI
1274642,pH,7,pH,,130,10.1021/acs.est.5b01041
1274643,"Concentration trans,trans-hexadienoate",100,micromolar,,130,10.1021/acs.est.5b01041
1274644,Light,NULL,,Simulated Sunlight,130,10.1021/acs.est.5b01041
1274645,Time of Measurement,15,hours,,130,10.1021/acs.est.5b01041
1274646,particle concentration,8,milligrams/liter,,131,10.1021/acs.est.5b01041
1274647,pH,7,pH,,131,10.1021/acs.est.5b01041
1274648,"Concentration trans,trans-hexadienoate",100,micromolar,,131,10.1021/acs.est.5b01041
1274649,Light,NULL,,Simulated Sunlight,131,10.1021/acs.est.5b01041
1274650,Time of Measurement,20,hours,,131,10.1021/acs.est.5b01041
1274651,particle concentration,8,milligrams/liter,,132,10.1021/acs.est.5b01041
1274652,pH,7,pH,,132,10.1021/acs.est.5b01041
1274653,"Concentration trans,trans-hexadienoate",100,micromolar,,132,10.1021/acs.est.5b01041
1274654,Light,NULL,,Simulated Sunlight,132,10.1021/acs.est.5b01041
1274655,Time of Measurement,24,hours,,132,10.1021/acs.est.5b01041
1274656,pH,7,pH,,133,10.1021/acs.est.5b01041
1274657,Light,NULL,,Simulated Sunlight,133,10.1021/acs.est.5b01041
1274658,Time of Measurement,3,hours,,133,10.1021/acs.est.5b01041
1274659,pH,7,pH,,134,10.1021/acs.est.5b01041
1274660,Light,NULL,,Simulated Sunlight,134,10.1021/acs.est.5b01041
1274661,Time of Measurement,3,hours,,134,10.1021/acs.est.5b01041
1274662,pH,7,pH,,135,10.1021/acs.est.5b01041
1274663,Light,NULL,,Simulated Sunlight,135,10.1021/acs.est.5b01041
1274664,Time of Measurement,3,hours,,135,10.1021/acs.est.5b01041
1274665,pH,7,pH,,136,10.1021/acs.est.5b01041
1274666,Light,NULL,,Simulated Sunlight,136,10.1021/acs.est.5b01041
1274667,Time of Measurement,3,hours,,136,10.1021/acs.est.5b01041
1274668,pH,7,pH,,137,10.1021/acs.est.5b01041
1274669,Light,NULL,,Simulated Sunlight,137,10.1021/acs.est.5b01041
1274670,Time of Measurement,6,hours,,137,10.1021/acs.est.5b01041
1274671,pH,7,pH,,138,10.1021/acs.est.5b01041
1274672,Light,NULL,,Simulated Sunlight,138,10.1021/acs.est.5b01041
1274673,Time of Measurement,6,hours,,138,10.1021/acs.est.5b01041
1274674,pH,7,pH,,139,10.1021/acs.est.5b01041
1274675,Light,NULL,,Simulated Sunlight,139,10.1021/acs.est.5b01041
1274676,Time of Measurement,6,hours,,139,10.1021/acs.est.5b01041
1274677,pH,7,pH,,140,10.1021/acs.est.5b01041
1274678,Light,NULL,,Simulated Sunlight,140,10.1021/acs.est.5b01041
1274679,Time of Measurement,6,hours,,140,10.1021/acs.est.5b01041
1274680,pH,7,pH,,141,10.1021/acs.est.5b01041
1274681,Light,NULL,,Simulated Sunlight,141,10.1021/acs.est.5b01041
1274682,Time of Measurement,3,hours,,141,10.1021/acs.est.5b01041
1274683,pH,7,pH,,142,10.1021/acs.est.5b01041
1274684,Light,NULL,,Simulated Sunlight,142,10.1021/acs.est.5b01041
1274685,Time of Measurement,3,hours,,142,10.1021/acs.est.5b01041
1274686,pH,7,pH,,143,10.1021/acs.est.5b01041
1274687,Light,NULL,,Simulated Sunlight,143,10.1021/acs.est.5b01041
1274688,Time of Measurement,3,hours,,143,10.1021/acs.est.5b01041
1274689,pH,7,pH,,144,10.1021/acs.est.5b01041
1274690,Light,NULL,,Simulated Sunlight,144,10.1021/acs.est.5b01041
1274691,Time of Measurement,3,hours,,144,10.1021/acs.est.5b01041
1274692,pH,7,pH,,145,10.1021/acs.est.5b01041
1274693,Light,NULL,,Simulated Sunlight,145,10.1021/acs.est.5b01041
1274694,Time of Measurement,6,hours,,145,10.1021/acs.est.5b01041
1274695,pH,7,pH,,146,10.1021/acs.est.5b01041
1274696,Light,NULL,,Simulated Sunlight,146,10.1021/acs.est.5b01041
1274697,Time of Measurement,6,hours,,146,10.1021/acs.est.5b01041
1274698,pH,7,pH,,147,10.1021/acs.est.5b01041
1274699,Light,NULL,,Simulated Sunlight,147,10.1021/acs.est.5b01041
1274700,Time of Measurement,6,hours,,147,10.1021/acs.est.5b01041
1274701,pH,7,pH,,148,10.1021/acs.est.5b01041
1274702,Light,NULL,,Simulated Sunlight,148,10.1021/acs.est.5b01041
1274703,Time of Measurement,6,hours,,148,10.1021/acs.est.5b01041
1274704,pH,7,pH,,149,10.1021/acs.est.5b01041
1274705,Light,NULL,,Simulated Sunlight,149,10.1021/acs.est.5b01041
1274706,Time of Measurement,3,hours,,149,10.1021/acs.est.5b01041
1274707,pH,7,pH,,150,10.1021/acs.est.5b01041
1274708,Light,NULL,,Simulated Sunlight,150,10.1021/acs.est.5b01041
1274709,Time of Measurement,3,hours,,150,10.1021/acs.est.5b01041
1274710,pH,7,pH,,151,10.1021/acs.est.5b01041
1274711,Light,NULL,,Simulated Sunlight,151,10.1021/acs.est.5b01041
1274712,Time of Measurement,3,hours,,151,10.1021/acs.est.5b01041
1274713,pH,7,pH,,152,10.1021/acs.est.5b01041
1274714,Light,NULL,,Simulated Sunlight,152,10.1021/acs.est.5b01041
1274715,Time of Measurement,3,hours,,152,10.1021/acs.est.5b01041
1274716,pH,7,pH,,153,10.1021/acs.est.5b01041
1274717,Light,NULL,,Simulated Sunlight,153,10.1021/acs.est.5b01041
1274718,Time of Measurement,6,hours,,153,10.1021/acs.est.5b01041
1274719,pH,7,pH,,154,10.1021/acs.est.5b01041
1274720,Light,NULL,,Simulated Sunlight,154,10.1021/acs.est.5b01041
1274721,Time of Measurement,6,hours,,154,10.1021/acs.est.5b01041
1274722,pH,7,pH,,155,10.1021/acs.est.5b01041
1274723,Light,NULL,,Simulated Sunlight,155,10.1021/acs.est.5b01041
1274724,Time of Measurement,6,hours,,155,10.1021/acs.est.5b01041
1274725,pH,7,pH,,156,10.1021/acs.est.5b01041
1274726,Light,NULL,,Simulated Sunlight,156,10.1021/acs.est.5b01041
1274727,Time of Measurement,6,hours,,156,10.1021/acs.est.5b01041
1274728,pH,7,pH,,157,10.1021/acs.est.5b01041
1274729,Light,NULL,,Simulated Sunlight,157,10.1021/acs.est.5b01041
1274730,Time of Measurement,3,hours,,157,10.1021/acs.est.5b01041
1274731,pH,7,pH,,158,10.1021/acs.est.5b01041
1274732,Light,NULL,,Simulated Sunlight,158,10.1021/acs.est.5b01041
1274733,Time of Measurement,3,hours,,158,10.1021/acs.est.5b01041
1274734,pH,7,pH,,159,10.1021/acs.est.5b01041
1274735,Light,NULL,,Simulated Sunlight,159,10.1021/acs.est.5b01041
1274736,Time of Measurement,3,hours,,159,10.1021/acs.est.5b01041
1274737,pH,7,pH,,160,10.1021/acs.est.5b01041
1274738,Light,NULL,,Simulated Sunlight,160,10.1021/acs.est.5b01041
1274739,Time of Measurement,3,hours,,160,10.1021/acs.est.5b01041
1274740,pH,7,pH,,161,10.1021/acs.est.5b01041
1274741,Light,NULL,,Simulated Sunlight,161,10.1021/acs.est.5b01041
1274742,Time of Measurement,6,hours,,161,10.1021/acs.est.5b01041
1274743,pH,7,pH,,162,10.1021/acs.est.5b01041
1274744,Light,NULL,,Simulated Sunlight,162,10.1021/acs.est.5b01041
1274745,Time of Measurement,6,hours,,162,10.1021/acs.est.5b01041
1274746,pH,7,pH,,163,10.1021/acs.est.5b01041
1274747,Light,NULL,,Simulated Sunlight,163,10.1021/acs.est.5b01041
1274748,Time of Measurement,6,hours,,163,10.1021/acs.est.5b01041
1274749,pH,7,pH,,164,10.1021/acs.est.5b01041
1274750,Light,NULL,,Simulated Sunlight,164,10.1021/acs.est.5b01041
1274751,Time of Measurement,6,hours,,164,10.1021/acs.est.5b01041
1274752,Concentration Suwannee River natural organic matter,0,milligrams/liter,,165,10.1021/acs.est.5b01041
1274753,pH,7,pH,,165,10.1021/acs.est.5b01041
1274754,Light,NULL,,Simulated Sunlight,165,10.1021/acs.est.5b01041
1274755,Time of Measurement,0,hours,,165,10.1021/acs.est.5b01041
1274756,concentration furfuryl alcohol,0.2,millimolar,,165,10.1021/acs.est.5b01041
1274757,Temperature,25,Celsius,,165,10.1021/acs.est.5b01041
1274758,Concentration Suwannee River natural organic matter,0,milligrams/liter,,166,10.1021/acs.est.5b01041
1274759,pH,7,pH,,166,10.1021/acs.est.5b01041
1274760,Light,NULL,,Simulated Sunlight,166,10.1021/acs.est.5b01041
1274761,Time of Measurement,6,hours,,166,10.1021/acs.est.5b01041
1274762,concentration furfuryl alcohol,0.2,millimolar,,166,10.1021/acs.est.5b01041
1274763,Temperature,25,Celsius,,166,10.1021/acs.est.5b01041
1274764,Concentration Suwannee River natural organic matter,0,milligrams/liter,,167,10.1021/acs.est.5b01041
1274765,pH,7,pH,,167,10.1021/acs.est.5b01041
1274766,Light,NULL,,Simulated Sunlight,167,10.1021/acs.est.5b01041
1274767,Time of Measurement,25,hours,,167,10.1021/acs.est.5b01041
1274768,concentration furfuryl alcohol,0.2,millimolar,,167,10.1021/acs.est.5b01041
1274769,Temperature,25,Celsius,,167,10.1021/acs.est.5b01041
1274770,Concentration Suwannee River natural organic matter,0,milligrams/liter,,168,10.1021/acs.est.5b01041
1274771,pH,7,pH,,168,10.1021/acs.est.5b01041
1274772,Light,NULL,,Simulated Sunlight,168,10.1021/acs.est.5b01041
1274773,Time of Measurement,51,hours,,168,10.1021/acs.est.5b01041
1274774,concentration furfuryl alcohol,0.2,millimolar,,168,10.1021/acs.est.5b01041
1274775,Temperature,25,Celsius,,168,10.1021/acs.est.5b01041
1274776,Concentration Suwannee River natural organic matter,0,milligrams/liter,,169,10.1021/acs.est.5b01041
1274777,pH,7,pH,,169,10.1021/acs.est.5b01041
1274778,Light,NULL,,Simulated Sunlight,169,10.1021/acs.est.5b01041
1274779,Time of Measurement,72,hours,,169,10.1021/acs.est.5b01041
1274780,concentration furfuryl alcohol,0.2,millimolar,,169,10.1021/acs.est.5b01041
1274781,Temperature,25,Celsius,,169,10.1021/acs.est.5b01041
1274782,Concentration Suwannee River natural organic matter,0,milligrams/liter,,170,10.1021/acs.est.5b01041
1274783,pH,7,pH,,170,10.1021/acs.est.5b01041
1274784,Light,NULL,,Simulated Sunlight,170,10.1021/acs.est.5b01041
1274785,Time of Measurement,93,hours,,170,10.1021/acs.est.5b01041
1274786,concentration furfuryl alcohol,0.2,millimolar,,170,10.1021/acs.est.5b01041
1274787,Temperature,25,Celsius,,170,10.1021/acs.est.5b01041
1274788,particle concentration,8,milligrams/liter,,171,10.1021/acs.est.5b01041
1274789,pH,7,pH,,171,10.1021/acs.est.5b01041
1274790,Light,NULL,,Simulated Sunlight,171,10.1021/acs.est.5b01041
1274791,Time of Measurement,0,hours,,171,10.1021/acs.est.5b01041
1274792,concentration furfuryl alcohol,0.2,millimolar,,171,10.1021/acs.est.5b01041
1274793,Temperature,25,Celsius,,171,10.1021/acs.est.5b01041
1274794,particle concentration,8,milligrams/liter,,172,10.1021/acs.est.5b01041
1274795,pH,7,pH,,172,10.1021/acs.est.5b01041
1274796,Light,NULL,,Simulated Sunlight,172,10.1021/acs.est.5b01041
1274797,Time of Measurement,11,hours,,172,10.1021/acs.est.5b01041
1274798,concentration furfuryl alcohol,0.2,millimolar,,172,10.1021/acs.est.5b01041
1274799,Temperature,25,Celsius,,172,10.1021/acs.est.5b01041
1274800,particle concentration,8,milligrams/liter,,173,10.1021/acs.est.5b01041
1274801,pH,7,pH,,173,10.1021/acs.est.5b01041
1274802,Light,NULL,,Simulated Sunlight,173,10.1021/acs.est.5b01041
1274803,Time of Measurement,25,hours,,173,10.1021/acs.est.5b01041
1274804,concentration furfuryl alcohol,0.2,millimolar,,173,10.1021/acs.est.5b01041
1274805,Temperature,25,Celsius,,173,10.1021/acs.est.5b01041
1274806,particle concentration,8,milligrams/liter,,174,10.1021/acs.est.5b01041
1274807,pH,7,pH,,174,10.1021/acs.est.5b01041
1274808,Light,NULL,,Simulated Sunlight,174,10.1021/acs.est.5b01041
1274809,Time of Measurement,51,hours,,174,10.1021/acs.est.5b01041
1274810,concentration furfuryl alcohol,0.2,millimolar,,174,10.1021/acs.est.5b01041
1274811,Temperature,25,Celsius,,174,10.1021/acs.est.5b01041
1274812,particle concentration,8,milligrams/liter,,175,10.1021/acs.est.5b01041
1274813,pH,7,pH,,175,10.1021/acs.est.5b01041
1274814,Light,NULL,,Simulated Sunlight,175,10.1021/acs.est.5b01041
1274815,Time of Measurement,72,hours,,175,10.1021/acs.est.5b01041
1274816,concentration furfuryl alcohol,0.2,millimolar,,175,10.1021/acs.est.5b01041
1274817,Temperature,25,Celsius,,175,10.1021/acs.est.5b01041
1274818,particle concentration,8,milligrams/liter,,176,10.1021/acs.est.5b01041
1274819,pH,7,pH,,176,10.1021/acs.est.5b01041
1274820,Light,NULL,,Simulated Sunlight,176,10.1021/acs.est.5b01041
1274821,Time of Measurement,93,hours,,176,10.1021/acs.est.5b01041
1274822,concentration furfuryl alcohol,0.2,millimolar,,176,10.1021/acs.est.5b01041
1274823,Temperature,25,Celsius,,176,10.1021/acs.est.5b01041
1274824,particle concentration,8,milligrams/liter,,177,10.1021/acs.est.5b01041
1274825,pH,7,pH,,177,10.1021/acs.est.5b01041
1274826,Light,NULL,,Simulated Sunlight,177,10.1021/acs.est.5b01041
1274827,Time of Measurement,0,hours,,177,10.1021/acs.est.5b01041
1274828,concentration furfuryl alcohol,0.2,millimolar,,177,10.1021/acs.est.5b01041
1274829,Temperature,25,Celsius,,177,10.1021/acs.est.5b01041
1274830,particle concentration,8,milligrams/liter,,178,10.1021/acs.est.5b01041
1274831,pH,7,pH,,178,10.1021/acs.est.5b01041
1274832,Light,NULL,,Simulated Sunlight,178,10.1021/acs.est.5b01041
1274833,Time of Measurement,6,hours,,178,10.1021/acs.est.5b01041
1274834,concentration furfuryl alcohol,0.2,millimolar,,178,10.1021/acs.est.5b01041
1274835,Temperature,25,Celsius,,178,10.1021/acs.est.5b01041
1274836,particle concentration,8,milligrams/liter,,179,10.1021/acs.est.5b01041
1274837,pH,7,pH,,179,10.1021/acs.est.5b01041
1274838,Light,NULL,,Simulated Sunlight,179,10.1021/acs.est.5b01041
1274839,Time of Measurement,12.6,hours,,179,10.1021/acs.est.5b01041
1274840,concentration furfuryl alcohol,0.2,millimolar,,179,10.1021/acs.est.5b01041
1274841,Temperature,25,Celsius,,179,10.1021/acs.est.5b01041
1274842,particle concentration,8,milligrams/liter,,180,10.1021/acs.est.5b01041
1274843,pH,7,pH,,180,10.1021/acs.est.5b01041
1274844,Light,NULL,,Simulated Sunlight,180,10.1021/acs.est.5b01041
1274845,Time of Measurement,24.7,hours,,180,10.1021/acs.est.5b01041
1274846,concentration furfuryl alcohol,0.2,millimolar,,180,10.1021/acs.est.5b01041
1274847,Temperature,25,Celsius,,180,10.1021/acs.est.5b01041
1274848,particle concentration,8,milligrams/liter,,181,10.1021/acs.est.5b01041
1274849,pH,7,pH,,181,10.1021/acs.est.5b01041
1274850,Light,NULL,,Simulated Sunlight,181,10.1021/acs.est.5b01041
1274851,Time of Measurement,48.5,hours,,181,10.1021/acs.est.5b01041
1274852,concentration furfuryl alcohol,0.2,millimolar,,181,10.1021/acs.est.5b01041
1274853,Temperature,25,Celsius,,181,10.1021/acs.est.5b01041
1274854,particle concentration,8,milligrams/liter,,182,10.1021/acs.est.5b01041
1274855,pH,7,pH,,182,10.1021/acs.est.5b01041
1274856,Light,NULL,,Simulated Sunlight,182,10.1021/acs.est.5b01041
1274857,Time of Measurement,72.2,hours,,182,10.1021/acs.est.5b01041
1274858,concentration furfuryl alcohol,0.2,millimolar,,182,10.1021/acs.est.5b01041
1274859,Temperature,25,Celsius,,182,10.1021/acs.est.5b01041
1274860,particle concentration,8,milligrams/liter,,183,10.1021/acs.est.5b01041
1274861,pH,7,pH,,183,10.1021/acs.est.5b01041
1274862,Light,NULL,,Simulated Sunlight,183,10.1021/acs.est.5b01041
1274863,Time of Measurement,94.6,hours,,183,10.1021/acs.est.5b01041
1274864,concentration furfuryl alcohol,0.2,millimolar,,183,10.1021/acs.est.5b01041
1274865,Temperature,25,Celsius,,183,10.1021/acs.est.5b01041
1274866,particle concentration,8,milligrams/liter,,184,10.1021/acs.est.5b01041
1274867,pH,7,pH,,184,10.1021/acs.est.5b01041
1274868,Light,NULL,,Simulated Sunlight,184,10.1021/acs.est.5b01041
1274869,Time of Measurement,0,hours,,184,10.1021/acs.est.5b01041
1274870,concentration furfuryl alcohol,0.2,millimolar,,184,10.1021/acs.est.5b01041
1274871,Temperature,25,Celsius,,184,10.1021/acs.est.5b01041
1274872,particle concentration,8,milligrams/liter,,185,10.1021/acs.est.5b01041
1274873,pH,7,pH,,185,10.1021/acs.est.5b01041
1274874,Light,NULL,,Simulated Sunlight,185,10.1021/acs.est.5b01041
1274875,Time of Measurement,1,hours,,185,10.1021/acs.est.5b01041
1274876,concentration furfuryl alcohol,0.2,millimolar,,185,10.1021/acs.est.5b01041
1274877,Temperature,25,Celsius,,185,10.1021/acs.est.5b01041
1274878,particle concentration,8,milligrams/liter,,186,10.1021/acs.est.5b01041
1274879,pH,7,pH,,186,10.1021/acs.est.5b01041
1274880,Light,NULL,,Simulated Sunlight,186,10.1021/acs.est.5b01041
1274881,Time of Measurement,2.01594,hours,,186,10.1021/acs.est.5b01041
1274882,concentration furfuryl alcohol,0.2,millimolar,,186,10.1021/acs.est.5b01041
1274883,Temperature,25,Celsius,,186,10.1021/acs.est.5b01041
1274884,particle concentration,8,milligrams/liter,,187,10.1021/acs.est.5b01041
1274885,pH,7,pH,,187,10.1021/acs.est.5b01041
1274886,Light,NULL,,Simulated Sunlight,187,10.1021/acs.est.5b01041
1274887,Time of Measurement,3.95165,hours,,187,10.1021/acs.est.5b01041
1274888,concentration furfuryl alcohol,0.2,millimolar,,187,10.1021/acs.est.5b01041
1274889,Temperature,25,Celsius,,187,10.1021/acs.est.5b01041
1274890,particle concentration,8,milligrams/liter,,188,10.1021/acs.est.5b01041
1274891,pH,7,pH,,188,10.1021/acs.est.5b01041
1274892,Light,NULL,,Simulated Sunlight,188,10.1021/acs.est.5b01041
1274893,Time of Measurement,6.94391,hours,,188,10.1021/acs.est.5b01041
1274894,concentration furfuryl alcohol,0.2,millimolar,,188,10.1021/acs.est.5b01041
1274895,Temperature,25,Celsius,,188,10.1021/acs.est.5b01041
1274896,particle concentration,8,milligrams/liter,,189,10.1021/acs.est.5b01041
1274897,pH,7,pH,,189,10.1021/acs.est.5b01041
1274898,Light,NULL,,Simulated Sunlight,189,10.1021/acs.est.5b01041
1274899,Time of Measurement,9.93691,hours,,189,10.1021/acs.est.5b01041
1274900,concentration furfuryl alcohol,0.2,millimolar,,189,10.1021/acs.est.5b01041
1274901,Temperature,25,Celsius,,189,10.1021/acs.est.5b01041
1274902,particle concentration,8,milligrams/liter,,190,10.1021/acs.est.5b01041
1274903,pH,7,pH,,190,10.1021/acs.est.5b01041
1274904,Light,NULL,,Simulated Sunlight,190,10.1021/acs.est.5b01041
1274905,Time of Measurement,0,hours,,190,10.1021/acs.est.5b01041
1274906,concentration furfuryl alcohol,0.2,millimolar,,190,10.1021/acs.est.5b01041
1274907,Temperature,25,Celsius,,190,10.1021/acs.est.5b01041
1274908,particle concentration,8,milligrams/liter,,191,10.1021/acs.est.5b01041
1274909,pH,7,pH,,191,10.1021/acs.est.5b01041
1274910,Light,NULL,,Simulated Sunlight,191,10.1021/acs.est.5b01041
1274911,Time of Measurement,0.954744,hours,,191,10.1021/acs.est.5b01041
1274912,concentration furfuryl alcohol,0.2,millimolar,,191,10.1021/acs.est.5b01041
1274913,Temperature,25,Celsius,,191,10.1021/acs.est.5b01041
1274914,particle concentration,8,milligrams/liter,,192,10.1021/acs.est.5b01041
1274915,pH,7,pH,,192,10.1021/acs.est.5b01041
1274916,Light,NULL,,Simulated Sunlight,192,10.1021/acs.est.5b01041
1274917,Time of Measurement,1.91866,hours,,192,10.1021/acs.est.5b01041
1274918,concentration furfuryl alcohol,0.2,millimolar,,192,10.1021/acs.est.5b01041
1274919,Temperature,25,Celsius,,192,10.1021/acs.est.5b01041
1274920,particle concentration,8,milligrams/liter,,193,10.1021/acs.est.5b01041
1274921,pH,7,pH,,193,10.1021/acs.est.5b01041
1274922,Light,NULL,,Simulated Sunlight,193,10.1021/acs.est.5b01041
1274923,Time of Measurement,3.84931,hours,,193,10.1021/acs.est.5b01041
1274924,concentration furfuryl alcohol,0.2,millimolar,,193,10.1021/acs.est.5b01041
1274925,Temperature,25,Celsius,,193,10.1021/acs.est.5b01041
1274926,particle concentration,8,milligrams/liter,,194,10.1021/acs.est.5b01041
1274927,pH,7,pH,,194,10.1021/acs.est.5b01041
1274928,Light,NULL,,Simulated Sunlight,194,10.1021/acs.est.5b01041
1274929,Time of Measurement,6.91903,hours,,194,10.1021/acs.est.5b01041
1274930,concentration furfuryl alcohol,0.2,millimolar,,194,10.1021/acs.est.5b01041
1274931,Temperature,25,Celsius,,194,10.1021/acs.est.5b01041
1274932,particle concentration,8,milligrams/liter,,195,10.1021/acs.est.5b01041
1274933,pH,7,pH,,195,10.1021/acs.est.5b01041
1274934,Light,NULL,,Simulated Sunlight,195,10.1021/acs.est.5b01041
1274935,Time of Measurement,9.83282,hours,,195,10.1021/acs.est.5b01041
1274936,concentration furfuryl alcohol,0.2,millimolar,,195,10.1021/acs.est.5b01041
1274937,Temperature,25,Celsius,,195,10.1021/acs.est.5b01041
1274938,particle concentration,0,milligrams/liter,,196,10.1021/acs.est.5b01041
1274939,pH,7,pH,,196,10.1021/acs.est.5b01041
1274940,Light,NULL,,Simulated Sunlight,196,10.1021/acs.est.5b01041
1274941,particle concentration,8,milligrams/liter,,197,10.1021/acs.est.5b01041
1274942,Concentration sodium chloride,80,millimolar,,197,10.1021/acs.est.5b01041
1274943,pH,7,,,197,10.1021/acs.est.5b01041
1274944,Light,NULL,,Simulated Sunlight,197,10.1021/acs.est.5b01041
1274945,particle concentration,8,milligrams/liter,,198,10.1021/acs.est.5b01041
1274946,Concentration sodium chloride,150,millimolar,,198,10.1021/acs.est.5b01041
1274947,pH,7,,,198,10.1021/acs.est.5b01041
1274948,Light,NULL,,Simulated Sunlight,198,10.1021/acs.est.5b01041
1274949,particle concentration,8,milligrams/liter,,199,10.1021/acs.est.5b01041
1274950,Concentration sodium chloride,250,millimolar,,199,10.1021/acs.est.5b01041
1274951,pH,7,,,199,10.1021/acs.est.5b01041
1274952,Light,NULL,,Simulated Sunlight,199,10.1021/acs.est.5b01041
1274953,particle concentration,0,milligrams/liter,,200,10.1021/acs.est.5b01041
1274954,pH,7,,,200,10.1021/acs.est.5b01041
1274955,Light,NULL,,Simulated Sunlight,200,10.1021/acs.est.5b01041
1274956,particle concentration,8,milligrams/liter,,201,10.1021/acs.est.5b01041
1274957,Concentration sodium chloride,80,millimolar,,201,10.1021/acs.est.5b01041
1274958,pH,7,,,201,10.1021/acs.est.5b01041
1274959,Light,NULL,,Simulated Sunlight,201,10.1021/acs.est.5b01041
1274960,particle concentration,8,milligrams/liter,,202,10.1021/acs.est.5b01041
1274961,Concentration sodium chloride,150,millimolar,,202,10.1021/acs.est.5b01041
1274962,pH,7,,,202,10.1021/acs.est.5b01041
1274963,Light,NULL,,Simulated Sunlight,202,10.1021/acs.est.5b01041
1274964,particle concentration,8,milligrams/liter,,203,10.1021/acs.est.5b01041
1274965,Concentration sodium chloride,250,millimolar,,203,10.1021/acs.est.5b01041
1274966,pH,7,,,203,10.1021/acs.est.5b01041
1274967,Light,NULL,,Simulated Sunlight,203,10.1021/acs.est.5b01041
1274968,particle concentration,0,milligrams/liter,,204,10.1021/acs.est.5b01041
1274969,pH,7,,,204,10.1021/acs.est.5b01041
1274970,Light,NULL,,Simulated Sunlight,204,10.1021/acs.est.5b01041
1274971,particle concentration,8,milligrams/liter,,205,10.1021/acs.est.5b01041
1274972,Concentration sodium chloride,80,millimolar,,205,10.1021/acs.est.5b01041
1274973,pH,7,pH,,205,10.1021/acs.est.5b01041
1274974,Light,NULL,,Simulated Sunlight,205,10.1021/acs.est.5b01041
1274975,particle concentration,8,milligrams/liter,,206,10.1021/acs.est.5b01041
1274976,Concentration sodium chloride,150,millimolar,,206,10.1021/acs.est.5b01041
1274977,pH,7,pH,,206,10.1021/acs.est.5b01041
1274978,Light,NULL,,Simulated Sunlight,206,10.1021/acs.est.5b01041
1274979,particle concentration,8,milligrams/liter,,207,10.1021/acs.est.5b01041
1274980,Concentration sodium chloride,250,millimolar,,207,10.1021/acs.est.5b01041
1274981,pH,7,pH,,207,10.1021/acs.est.5b01041
1274982,Light,NULL,,Simulated Sunlight,207,10.1021/acs.est.5b01041
1274983,particle concentration,0,milligrams/liter,,208,10.1021/acs.est.5b01041
1274984,pH,7,pH,,208,10.1021/acs.est.5b01041
1274985,Light,NULL,,Simulated Sunlight,208,10.1021/acs.est.5b01041
1274986,particle concentration,8,milligrams/liter,,209,10.1021/acs.est.5b01041
1274987,Concentration sodium chloride,80,millimolar,,209,10.1021/acs.est.5b01041
1274988,pH,7,pH,,209,10.1021/acs.est.5b01041
1274989,Light,NULL,,Simulated Sunlight,209,10.1021/acs.est.5b01041
1274990,particle concentration,8,milligrams/liter,,210,10.1021/acs.est.5b01041
1274991,Concentration sodium chloride,150,millimolar,,210,10.1021/acs.est.5b01041
1274992,pH,7,pH,,210,10.1021/acs.est.5b01041
1274993,Light,NULL,,Simulated Sunlight,210,10.1021/acs.est.5b01041
1274994,particle concentration,8,milligrams/liter,,211,10.1021/acs.est.5b01041
1274995,Concentration sodium chloride,250,millimolar,,211,10.1021/acs.est.5b01041
1274996,pH,7,pH,,211,10.1021/acs.est.5b01041
1274997,Light,NULL,,Simulated Sunlight,211,10.1021/acs.est.5b01041
1274998,particle concentration,0,milligrams/liter,,212,10.1021/acs.est.5b01041
1274999,pH,7,,,212,10.1021/acs.est.5b01041
1275000,Light,NULL,,Simulated Sunlight,212,10.1021/acs.est.5b01041
1275001,Concentration desferal,50,micromolar,,212,10.1021/acs.est.5b01041
1275002,particle concentration,8,milligrams/liter,,213,10.1021/acs.est.5b01041
1275003,Concentration sodium chloride,250,millimolar,,213,10.1021/acs.est.5b01041
1275004,pH,7,pH,,213,10.1021/acs.est.5b01041
1275005,Light,NULL,,Simulated Sunlight,213,10.1021/acs.est.5b01041
1275006,Concentration desferal,50,micromolar,,213,10.1021/acs.est.5b01041
1275007,particle concentration,0,milligrams/liter,,214,10.1021/acs.est.5b01041
1275008,pH,7,,,214,10.1021/acs.est.5b01041
1275009,Light,NULL,,Simulated Sunlight,214,10.1021/acs.est.5b01041
1275010,particle concentration,8,milligrams/liter,,215,10.1021/acs.est.5b01041
1275011,Concentration sodium chloride,80,millimolar,,215,10.1021/acs.est.5b01041
1275012,pH,7,pH,,215,10.1021/acs.est.5b01041
1275013,Light,NULL,,Simulated Sunlight,215,10.1021/acs.est.5b01041
1275014,particle concentration,8,milligrams/liter,,216,10.1021/acs.est.5b01041
1275015,Concentration sodium chloride,150,millimolar,,216,10.1021/acs.est.5b01041
1275016,pH,7,pH,,216,10.1021/acs.est.5b01041
1275017,Light,NULL,,Simulated Sunlight,216,10.1021/acs.est.5b01041
1275018,particle concentration,8,milligrams/liter,,217,10.1021/acs.est.5b01041
1275019,Concentration sodium chloride,250,millimolar,,217,10.1021/acs.est.5b01041
1275020,pH,7,pH,,217,10.1021/acs.est.5b01041
1275021,Light,NULL,,Simulated Sunlight,217,10.1021/acs.est.5b01041
1275022,particle concentration,0,milligrams/liter,,218,10.1021/acs.est.5b01041
1275023,pH,7,,,218,10.1021/acs.est.5b01041
1275024,Light,NULL,,Simulated Sunlight,218,10.1021/acs.est.5b01041
