AssayID,publication_DOI,AssayType,AssayName,medium_MediumID,medium_publication_DOI,material_MaterialID,material_publication_DOI
116,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
116,10.1021/acs.est.7b01477,chemical characterization,dynamic light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
117,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
117,10.1021/acs.est.7b01477,chemical characterization,dynamic light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
118,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
118,10.1021/acs.est.7b01477,chemical characterization,dynamic light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
119,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
119,10.1021/acs.est.7b01477,chemical characterization,dynamic light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
120,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
120,10.1021/acs.est.7b01477,chemical characterization,dynamic light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
121,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
121,10.1021/acs.est.7b01477,chemical characterization,phase analysis light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
122,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
122,10.1021/acs.est.7b01477,chemical characterization,phase analysis light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
123,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
123,10.1021/acs.est.7b01477,chemical characterization,phase analysis light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
124,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
124,10.1021/acs.est.7b01477,chemical characterization,phase analysis light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
125,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
125,10.1021/acs.est.7b01477,chemical characterization,phase analysis light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
126,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
126,10.1021/acs.est.7b01477,chemical characterization,phase analysis light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
127,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
127,10.1021/acs.est.7b01477,chemical characterization,phase analysis light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
128,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
129,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
130,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
131,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
132,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
133,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
134,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
135,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
136,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
137,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
138,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
139,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
140,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
141,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
142,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
143,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
144,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
